id,text,screen_name,time
726949508114964480,@LMTentarelli seems like $aapl is under control of the 50d and the 200d!!,HROD1984,Mon May 02 01:40:43 +0000 2016
726949359640682496,"$AAPL store packed today, $MSFT store dead,most looking at watches, not many empty handed leaving either , this too will pass",mapleleafnj,Mon May 02 01:40:08 +0000 2016
726949083613638657,Time to Adjust Our Expectations for #Apple $AAPL https://t.co/97Gq9C3tTv,TalkMarkets,Mon May 02 01:39:02 +0000 2016
726947772511981568,$AAPL very clear Primary Downtrend https://t.co/1rmMNmTfrk,LMTentarelli,Mon May 02 01:33:49 +0000 2016
726947139285184513,Lots of technical damage on $AAPL.  Needs to hold $92.50 again this week or next level low $80's.  $SPY $SPX https://t.co/7xrdu6dLib,candidbanter,Mon May 02 01:31:18 +0000 2016
726946217796710401,"How is $twtr going to get a bigger #women audience? 

$fb $aapl $tsla $spy https://t.co/FAMuEzx6FI",danny121683,Mon May 02 01:27:38 +0000 2016
726946001169186816,"$AAPL, $SPY and $CPXX are some top stock msg boards on the web! Found on https://t.co/3M8Asr6lAX homepage, the discovery engine. #stocks",specstockscom,Mon May 02 01:26:47 +0000 2016
726944308981542916,EarlyBird's read-only Twitter client is fully FCA/SEC compliant. https://t.co/duYpoPYo3D $AAPL #marketdata https://t.co/nsn3j9l2d2,EarlyBirdAlert,Mon May 02 01:20:03 +0000 2016
726944281722650625,#wearables:doing 1 thing well beats trying to do all - #IoT #smartwatch #AppleWatch #FitBit $FIT $AAPL #AndroidWear https://t.co/x0jex1cFrH,MobilePotpurri,Mon May 02 01:19:57 +0000 2016
726943769384218625,#wearables:doing 1 thing well beats trying to do all - #IoT #smartwatch #AppleWatch #FitBit $FIT $AAPL #AndroidWear https://t.co/BWJJgCAJxt,MobilePotpurri,Mon May 02 01:17:55 +0000 2016
726943232597184513,Good read (long): #Apple’s organizational crossroads - https://t.co/5GU8f2aFHi #management $AAPL #organizationalStructure #leadership,MobilePotpurri,Mon May 02 01:15:47 +0000 2016
726943021191729152,#TradeIdeas for tomorrow must watch list: $NBY $ATTO $NOV $ACTG $DATA $AROC #ArtificialIntelligence ignore $SPY $AAPL $FB $TWTR $AMZN $NFLX,TradeIdeas1,Mon May 02 01:14:56 +0000 2016
726942126127337472,Apple's $10 Billion Profit Is Not Enough? $AAPL https://t.co/D0UwcKibOO,Theonemicshow1,Mon May 02 01:11:23 +0000 2016
726942028668489728,@ReformedBroker @kourtneykardash love to see her bash $aapl or #fb stock,MostlyLong,Mon May 02 01:11:00 +0000 2016
726941784333541376,$AAPL: Analyst action by Goldman Sachs on Apple: https://t.co/ijxALcsfjS https://t.co/8VEOidSxZd,AnalystActions,Mon May 02 01:10:01 +0000 2016
726941227212410880,"$AAPL $SPX $SPY $DJIA // Have to LOVE:&gt;&gt; not going to happen in six, three, or two months. LOL https://t.co/whPmHbQD8D",tradewithmojo,Mon May 02 01:07:49 +0000 2016
726940727406534656,Ouch! #Apple finally ran out of ways to resell us the same product - $AAPL #iPhone https://t.co/PXMKBYG2iL,MobilePotpurri,Mon May 02 01:05:49 +0000 2016
726940539141001216,Guest Post from Mike Khouw – One More Thing – $AAPL https://t.co/PsyuZZBMln https://t.co/ZhugW3Bccl,NASDAQPlays,Mon May 02 01:05:05 +0000 2016
726940538847399936,Guest Post from Mike Khouw – One More Thing – $AAPL https://t.co/BS4NH7dz8P https://t.co/n7EagEO6e9,TopFiveTraders,Mon May 02 01:05:05 +0000 2016
