id,text,screen_name,time
727188502312456193,#GE General Electric Company Faces New Hurdles Entering Iran. Read more: https://t.co/4HnCkJU64g $GE,business_supser,Mon May 02 17:30:24 +0000 2016
727188502287282176,#GE General Electric Company Faces New Hurdles Entering Iran. Read more: https://t.co/s6lFIjzA91 $GE,scientific_res,Mon May 02 17:30:24 +0000 2016
727188491688247302,Past picks from @NormLevine Returned +22.01%: CCL Industries (56.35%) $GE (+17.24%) &amp; Power Financial (-7.56%),marketcall,Mon May 02 17:30:21 +0000 2016
727186790726115329,General Electric Company $GE Stock Rating Reaffirmed by Oppenheimer https://t.co/AymV29JexH,WKRBNews,Mon May 02 17:23:36 +0000 2016
727183999068598272,#GE Behold the world's largest jet engine. Read more: https://t.co/F9DQFin7mM $GE,business_supser,Mon May 02 17:12:30 +0000 2016
727183999047585792,#GE Behold the world's largest jet engine. Read more: https://t.co/tFbKy5YtMj $GE,scientific_res,Mon May 02 17:12:30 +0000 2016
727183992902930432,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/TAwkccuMj8
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $IBM",toptrader2015,Mon May 02 17:12:28 +0000 2016
727178990474170368,$AVXL P&amp;D $200K promo campaign due for a 90%+ drop GI's last call $GBSN is down 99.96% in a year https://t.co/LLzZfYUOHj $GE $AMGN $VMW $VRX,StockTradePicks,Mon May 02 16:52:36 +0000 2016
727155851132321792,Cramer (again) says on CNBC that $BHI doesn't fit $GE's strategy in the oil/gas segment.  He believes $NOV is a more likely takeover target.,ShelbyCollector,Mon May 02 15:20:39 +0000 2016
727153516746268672,Americas #Macro $sune $bac $pfe $aapl $fcx $odp $f $ge $s $csco $memo $wll $crm #hedgefunds https://t.co/nraWgiv32g https://t.co/aWBEHtqZpn,outsizedreturn,Mon May 02 15:11:22 +0000 2016
727151662406594561,Volume Alert - GE 30.92 General Electric Company $GE Hit a high today of 30.92 Closing the day 10:30 at 30.92  https://t.co/J4ENmHwkIX,leahanneta,Mon May 02 15:04:00 +0000 2016
727150420385234944,Beat The System: The Corporate Earnings Mirage https://t.co/nVYQsiZN6r $GE #earnings #GAAP https://t.co/obuROB9ENK,wallstdaily,Mon May 02 14:59:04 +0000 2016
727148231008882688,$FB is high and $GE is low in this Barron's 500 ranking for 2016... https://t.co/rL8bG4j8gJ,KirkLindstrom,Mon May 02 14:50:22 +0000 2016
727145312515710976,$SPY there ya go-Short that shit- $AAPL $AMZN $GE $FB $TWTR #ISM #Americadrowning,MissElllly,Mon May 02 14:38:46 +0000 2016
727144403886723073,General Electric  Faces New Hurdles Entering #Iran $GE ➜  https://t.co/ekZU9kh55R https://t.co/qyDF679bZw,Bidnessetc,Mon May 02 14:35:10 +0000 2016
727142109824880640,$SPY ISM manufacturing falls more than expected https://t.co/ZCnT6rmeIs via @themoneygame $AAPL $AMZN $PCLN $GE $XOM $USO $FB,MissElllly,Mon May 02 14:26:03 +0000 2016
727141401054576641,$SPY Sooo traders where is that 50 on the daily?  Bull on............ dummies $AAPL $AMZN $USO $GE,MissElllly,Mon May 02 14:23:14 +0000 2016
727140775935397889,Price Target Alert: Trading the Zacks price target change for GENERAL ELECTRIC $GE https://t.co/gB5dT3Qpf7 https://t.co/mjSjUOxXPu,QuantchaIdeas,Mon May 02 14:20:45 +0000 2016
727139371376214017,General Electric is undergoing major changes. The outlook for $GE stock @LouCarlozo63 @USNewsMoney https://t.co/rKWVqYc9lL,1patricksanders,Mon May 02 14:15:10 +0000 2016
727135693193904129,The Corporate #Earnings Mirage https://t.co/nVYQsjhnXZ #GAAP $GE https://t.co/OGzdkfXzVX,wallstdaily,Mon May 02 14:00:33 +0000 2016
727132424967098369,"GE Financials
See Here ---&gt; https://t.co/XzfVPQrOnB

$GE $MFC $ATVI #pennystocks",jaytrades16,Mon May 02 13:47:34 +0000 2016
727130937193029632,In our Dow 30 roundup we discuss the impact of Apple's weak earnings announcement. $AAPL $GE $DD $MMM https://t.co/W7Fq4Szmgk,ZacksResearch,Mon May 02 13:41:39 +0000 2016
727130608678346753,#BloombergNews Update $spy $vxx $yinn $oil $crm $f $t $c $aapl $v $uso $sune $ge #hedgefunds https://t.co/nraWgiv32g https://t.co/AH5RfrkDs6,outsizedreturn,Mon May 02 13:40:21 +0000 2016
727128359663185920,Corcelli's 30 Second Mkt $spy $yinn $oil $uso $nky $gdx $tbt $gs $crm $ge $f $c #hedgefunds https://t.co/nraWgiv32g https://t.co/y2dMzhN961,outsizedreturn,Mon May 02 13:31:24 +0000 2016
727127107017531392,"GE Top news - May 2nd, 2016 $GE https://t.co/MW7LPhpe9P",SweetPlatform,Mon May 02 13:26:26 +0000 2016
727120612410290176,It's Going To Be An Interesting Day For Oil Services ETFs $OIH $SLB $BHI $GE $HAL $NOV https://t.co/9A49Moh3j4 https://t.co/iWwcqIrOPj,Benzinga,Mon May 02 13:00:37 +0000 2016
727115543220764672,"Trading Strategies for stocks, ETFs and Penny stocks: https://t.co/Upddhj47pY  $QQQ $SPY $DJIA $DIA $AAPL $NFLX $DD $MMM $MET $DIS $GE $NVDA",StockWebTrading,Mon May 02 12:40:29 +0000 2016
