id,text,screen_name,time
727186638795755520,"#Microsoft Surface Pro 5: Rumours, UK Release Date, Specs, and more . Read more: https://t.co/pGiqYYH8Fv $MSFT",App_sw_,Mon May 02 17:22:59 +0000 2016
727186018982490113,Expect $BRCM to acquire $SGI. This is a potentially great and natural acquisition that $BRCM can do for cheap. $8-$9/share $FB $MSFT $AAPL,Louie_SFO,Mon May 02 17:20:32 +0000 2016
727185989609861121,How to build customer loyalty and confidence  https://t.co/vV6iH1XEiA $msft $xle $efa $jpm $csco $cbs $ual $utx 1,PhillyTrend215,Mon May 02 17:20:25 +0000 2016
727185924547862528,$MSFT moving. $QQQ $SPY,wagnermr14,Mon May 02 17:20:09 +0000 2016
727185862388125696,Epic sold Gears of War franchise to #Microsoft because it was getting too expensive. Read more: https://t.co/pfTbpH0wDa $MSFT,App_sw_,Mon May 02 17:19:54 +0000 2016
727185707144347648,#Microsoft Xbox One Upgrade Rumors: Everything We Know So Far. Read more: https://t.co/Tf1wuChuuc $MSFT,App_sw_,Mon May 02 17:19:17 +0000 2016
727185396522606592,#Microsoft to begin SHA-1 crypto shutoff with Windows 10's summer upgrade. Read more: https://t.co/hyaJs6vnbQ $MSFT,App_sw_,Mon May 02 17:18:03 +0000 2016
727184930652884992,"Oculus Rift sales kick off at Best Buy, Amazon and the #Microsoft Store this week. Read more: https://t.co/9ivuImwKpj $MSFT",App_sw_,Mon May 02 17:16:12 +0000 2016
727184775362973697,"Oculus Rift sales kick off at Best Buy, Amazon and the #Microsoft Store this week. Read more: https://t.co/GsharUA6Xr $MSFT",App_sw_,Mon May 02 17:15:35 +0000 2016
727184309745012736,"#Microsoft turns on https://t.co/3h0389GX5v 2.0, readys https://t.co/3h0389GX5v 3.0. Read more: https://t.co/RXicNyMVqr $MSFT",App_sw_,Mon May 02 17:13:44 +0000 2016
727183473904115713,Brand Extensions Create Value for Customers and the Company  https://t.co/qwnNd0PP0F $msft $xle $efa $jpm $csco 1,SanDiegoTrend,Mon May 02 17:10:25 +0000 2016
727183377623711744,"#Microsoft 
                                        Windows 10 growth stalls in April - CNE... Read more: https://t.co/nsJK7sJXnT $MSFT",App_sw_,Mon May 02 17:10:02 +0000 2016
727183192868810752,$MSFT prof81: Apple Introduces Image Search Through Microsoft Corporation Bing: prof81 https://t.co/lL8zplIEaR,NASDAQPlays,Mon May 02 17:09:18 +0000 2016
727182585441325057,5 Stocks to Sell for May $AAPL $KR $MSFT $NTES $PRGO https://t.co/MDpK1h4HqB,JorelLaraKalel,Mon May 02 17:06:53 +0000 2016
