id,text,screen_name,time
727062471693860864,"PTR Last Trade
See Here ---&gt; https://t.co/LyHy9gnyPA

$PTR $VCRA $CRT #stocks",amystocks21334,Mon May 02 09:09:36 +0000 2016
726995143186747394,"WDR Summary
See Here ---&gt; https://t.co/msUIV8Bjem

$WDR $MINE $PTR #stockmarket",stockfollower4u,Mon May 02 04:42:03 +0000 2016
726921309544828928,"$PTR trading halt re acquisition, could be a trade in it on Wednesday.",Lotsabags,Sun May 01 23:48:40 +0000 2016
726324267457998852,chartguy89: 2016 Trending Stocks: PTR 73.06 Stock Charts $PTR PetroChina Co. Ltd. https://t.co/zg7RMdgT3Q,iHangout,Sat Apr 30 08:16:14 +0000 2016
726195885068136448,"#China
 #stocks $PTR PetroChina Co. Daily:-0.63% Weekly:0.85% YTD:10.43% Trend:76 / 100  https://t.co/srA9sIKuZc",China_Stocks,Fri Apr 29 23:46:05 +0000 2016
726056998253527040,"$PTR:

New SEC Filing for PTR: Form 6-K (No. 0001193125-16-566779):

https://t.co/bXEabjGCsZ https://t.co/es1CJPY00Q",flthelead,Fri Apr 29 14:34:12 +0000 2016
726054659576631296,PetroChina Company: Election And Appointment Of Director SUPPLEMENTAL NOTICE OF ANNUAL GENERAL  https://t.co/AhSOqdgWaG $PTR,confcalltran,Fri Apr 29 14:24:54 +0000 2016
725886302835585024,PetroChina Company Limited $PTR Shares Gap Up to $72.92 https://t.co/OBCLwP7x7x,TickerReport,Fri Apr 29 03:15:55 +0000 2016
725881627704987648,PetroChina Company Limited $PTR Shares Gap Up to $72.92 https://t.co/5rKNEbPt07,AmericanBanking,Fri Apr 29 02:57:20 +0000 2016
725833417007439872,#china #stocks $PTR PetroChina Co. Daily:-3.08% Weekly:4.11% YTD:12.09% Trend:83 / 100  https://t.co/srA9sIKuZc,China_Stocks,Thu Apr 28 23:45:46 +0000 2016
725735163305463808,3 Stocks Dragging The Energy Industry Downward $PTR https://t.co/dOF9SBCo0S,TraderDaily,Thu Apr 28 17:15:21 +0000 2016
725726123980677120,PTR 75.86 Petrochina Company Ltd $PTR added to my watch list. Right now with PTR I am watching the last price  https://t.co/8Itp12W5kL,clayton_dd,Thu Apr 28 16:39:25 +0000 2016
725710672978272256,China's #oil companies are selling tons of...snacks: https://t.co/ykzMseOYHf via @Bfly $PTR https://t.co/M4iJztCy5e,liamdenning,Thu Apr 28 15:38:02 +0000 2016
725683437340872704,"$RCON $1.34 ""We expect to receive more follow-on orders from $PTR as part of the Procurement Program in coming quarters."" - Should be soon!",BullionNation,Thu Apr 28 13:49:48 +0000 2016
725675318258753536,PetroChina posts first-ever quarterly loss https://t.co/29SRaANJIh #premarket $PTR,SEEKINGALPHA_FS,Thu Apr 28 13:17:32 +0000 2016
725675316832702464,PetroChina posts first-ever quarterly loss https://t.co/fijaQsbmVM #premarket $PTR,StocksMove_SA,Thu Apr 28 13:17:32 +0000 2016
725675315620507648,PetroChina posts first-ever quarterly loss https://t.co/UNcQPCc3yV #premarket $PTR,SA_Energy,Thu Apr 28 13:17:32 +0000 2016
725675314278359040,PetroChina posts first-ever quarterly loss https://t.co/x6fHxUlILD #premarket $PTR,MarketCurrents,Thu Apr 28 13:17:31 +0000 2016
725653066746335232,"$PTR:

New SEC Filing for PTR: Form 6-K (No. 0001193125-16-561068):

https://t.co/NGwYVvIaTK https://t.co/WCWXu9Dm42",flyingtrades,Thu Apr 28 11:49:07 +0000 2016
725647923330072576,Petroneft Resources PLC $PTR Earns “speculative buy” Rating from Canaccord Genuity https://t.co/88yQ7QV0CG,dakotafinancial,Thu Apr 28 11:28:41 +0000 2016
725499593987883009,Bank of Montreal Can Increases Stake in PetroChina Company Limited $PTR https://t.co/TnHC096q2E,dailypoliticaln,Thu Apr 28 01:39:16 +0000 2016
725471021420187648,#china #stocks $PTR PetroChina Co. Daily:4.03% Weekly:7.25% YTD:15.66% Trend:100 / 100  https://t.co/srA9sIKuZc,China_Stocks,Wed Apr 27 23:45:44 +0000 2016
725452588569755648,$PTR shares crossed above their 200 DMA today. https://t.co/WEuj8GF86X #stocks #markets,acfinancialnews,Wed Apr 27 22:32:30 +0000 2016
725405922001047552,"$PTR: 3mRunaway+:2 [+4%], 0NearHi, 4:7Accel+Dy, allTFs+, FirmTrnd+:+50%; TLM:1.7; ILM:1.0, phGap[+1.4%,ret:0.0%], 3MoHi+, DyVol:169T:1.4x:1x",tymorapro,Wed Apr 27 19:27:03 +0000 2016
725402396139069449,$RCON #lowfloatoil  any volume it goes Many deals with $PTR https://t.co/oTzsF3Gync,beach_trades,Wed Apr 27 19:13:03 +0000 2016
725379756959502336,PetroChina  $PTR  Shares Cross Above 200 DMA $FNI #energy https://t.co/Rc333sgpnd,bnkinvest,Wed Apr 27 17:43:05 +0000 2016
725322991509331970,If ever day $RCON to get picked up with $PTR deals,beach_trades,Wed Apr 27 13:57:31 +0000 2016
725320216129994752,PetroChina Co. hits a 1 quarter high https://t.co/OG4I3x6rdM $PTR #PetroChinaCo. https://t.co/Jr91YWI1M1,BigAlerts,Wed Apr 27 13:46:29 +0000 2016
725304052297277440,"BP: A Positive Cash Flow Surprise, But Still Far From Full Comfort On The Dividends https://t.co/7HNY9HNDsR $PTR $RNFTF $BP",SEEKINGALPHA_FS,Wed Apr 27 12:42:16 +0000 2016
